"Population","Popn.Geno","Tree.No","Rep.No","bayes.tree.no","ID","estimate_P12","estimate_P50","c","b","conf.low_P12","conf.low_P50","conf.low_c","conf.low_b","conf.high_P12","conf.high_P50","conf.high_c","conf.high_b"
"JLA-JAK","JLA157","67","1",31,"JLA157-67-1",2.20000984225777,2.55234604748176,11.3800200184721,2.63588676202303,2.12351724435518,2.4920084647722,10.5647129880642,2.57997878831086,2.27988942991056,2.61615046467924,12.287771155008,2.69535899247257
"JLA-JAK","JLA157","68","1",32,"JLA157-68-1",2.53151801285065,2.88679286620529,12.8725580394355,2.97016817047738,2.45586141649019,2.82779341736713,11.9878410643909,2.91558480352504,2.60408842510762,2.94317853891913,13.8105540317551,3.0223320760266
"JLA-JAK","JLA157","72","1",33,"JLA157-72-1",2.3976487413148,2.75169178053191,12.2743575238945,2.83509646974258,2.3172571937863,2.68868535140946,11.3710645203254,2.77675901268967,2.47652763631629,2.81528818676833,13.1858018598383,2.89463973663264
"JLA-JAK","JLA158","70","1",34,"JLA158-70-1",2.16373847684466,2.51586411468282,11.2118840667974,2.59946592517755,2.07622755019719,2.44516611873953,10.3357154906406,2.53342940347067,2.24794784271152,2.58459551083751,12.1139312036449,2.66398869727412
"JLA-JAK","JLA158","73","1",35,"JLA158-73-1",2.42319906081686,2.77780199152719,12.3782511050244,2.86128089882168,2.33797247909289,2.70984627620033,11.452745284354,2.79796984195963,2.50466617549992,2.84362051067442,13.3192564064267,2.92295645653102
"JLA-JAK","JLA158","81","1",36,"JLA158-81-1",2.36847675686685,2.72249589079355,12.1356066940599,2.80597344116953,2.28698583287472,2.65734405037296,11.2631581045931,2.74523865488884,2.4467076040401,2.78444065365886,13.0739831943067,2.86360342832013
"NRV-NEW","NRV101","1","1",37,"NRV101-1-1",2.68502955521343,3.04118950921844,13.5722189174121,3.12443468920826,2.61113826815435,2.98426199996434,12.6567520456935,3.07194335799982,2.75888353248967,3.09873400188638,14.5523820446274,3.17776910015741
"NRV-NEW","NRV101","1","2",38,"NRV101-1-2",2.98616736519869,3.34426486170294,14.9264718354516,3.42739828301316,2.9054102635158,3.28113072488358,13.9007172572907,3.36879317411062,3.06194797375725,3.40367661840766,15.977660150143,3.48265624614134
"NRV-NEW","NRV101","2","1",39,"NRV101-2-1",2.95737197457631,3.31557107774592,14.7864226478984,3.39878156978797,2.87543840965191,3.25099873806055,13.7712175072891,3.3386838412033,3.03653649830843,3.37815161391959,15.8568294503864,3.45714320380456
"NRV-NEW","NRV105","7","1",40,"NRV105-7-1",1.83236690475703,2.18000472250946,9.73134421321226,2.2636763089346,1.74698667194259,2.11048649975984,8.94328793407007,2.19877500255784,1.91599564269677,2.24880461641008,10.5550704079279,2.32826339600675
